MeetID,MeetPath,Federation,Date,MeetCountry,MeetState,MeetTown,MeetName
4583,rps/1310,RPS,2013-04-20,USA,NY,Rochester,2013 RPS Spring Supremacy
4584,rps/1311,RPS,2013-05-04,USA,MD,Gambrills,2013 RPS Mid-Atlantic Championships
4585,rps/1312,RPS,2013-05-18,USA,NJ,Pennsauken,2013 RPS South Jersey Rumble
4586,rps/1313,RPS,2013-06-01,USA,PA,Bristol,2013 RPS Philly Push Pull
4587,rps/1314,RPS,2013-06-08,USA,NC,Charlotte,2013 RPS Back Yard Bash - Carolinas
4588,rps/1315,RPS,2013-06-15,USA,FL,Fort Lauderdale,2013 RPS South Florida's Strongest
4589,rps/1316,RPS,2013-06-15,USA,OH,Columbus,2013 Lexen Summer Slam
4590,rps/1317,RPS,2013-06-26,Ukraine,,Gurzuf,2013 Tavrika Cup Bench Press Championships
4591,rps/1318,RPS,2013-06-29,USA,CT,Hartford,2013 RPS Battle of Champions - Connecticut State Championships
4592,rps/1319,RPS,2013-07-13,USA,NY,Merrick,2013 RPS HeatWave
4593,rps/1320,RPS,2013-07-20,USA,OH,Columbus,2013 LexenXtreme Powerlifting Celebration Bash
4594,rps/1321,RPS,2013-07-27,USA,PA,Lancaster,2013 RPS PA State Championships
4595,rps/1322,RPS,2013-07-27,USA,PA,Lancaster,2013 RPS Raw Dawg National Championships
4596,rps/1323,RPS,2013-08-03,USA,VT,Fair Haven,2013 RPS Be a Freak Summer Benchpress Championships
4597,rps/1324,RPS,2013-08-10,USA,NY,Rochester,2013 RPS NY State Championships
4598,rps/1325,RPS,2013-08-24,USA,OH,Columbus,2013 Lexen Dog Days
4599,rps/1326,RPS,2013-08-24,USA,FL,Fort Myers,2013 RPS South Florida Conquest
4600,rps/1327,RPS,2013-09-14,USA,NJ,Newark,2013 RPS Supreme Iron Warrior World Championships
4601,rps/1328,RPS,2013-09-29,USA,FL,Fort Lauderdale,2013 RPS End of Summer Powerfest
4602,rps/1329,RPS,2013-09-28,USA,PA,Bloomsburg,2013 RPS Campus Chaos
4603,rps/1330,RPS,2013-10-06,USA,OH,Columbus,2013 RPS LexenXtreme Fall Classic
4604,rps/1331,RPS,2013-10-12,USA,MA,Everett,17th Annual RPS Power Challenge Boston
4605,rps/1332,RPS,2013-11-02,USA,NJ,Runnemede,2013 RPS Autumn Apocalypse
4606,rps/1333,RPS,2013-11-15,USA,NY,Merrick,2013 RPS Insurrextion
4607,rps/1334,RPS,2013-11-16,USA,VT,Fair Haven,2013 RPS Dennis Hayward Memorial Powerlifting Meet
4608,rps/1335,RPS,2013-12-07,USA,PA,Hellertown,2013 RPS Christmas Carnage
4609,rps/1336,RPS,2013-12-14,USA,VT,Fair Haven,2013 RPS Power Wars
4610,rps/1337,RPS,2013-12-15,USA,OH,Columbus,2013 RPS XXX
4611,rps/1401,RPS,2014-01-18,USA,FL,Dania Beach,RPS Florida Record Breakers
4612,rps/1402,RPS,2014-01-25,USA,NJ,Newark,2014 RPS North American & New Jersey State Championships
4613,rps/1403,RPS,2014-01-25,USA,VT,Fair Haven,RPS Winter Classic at Fair Haven
4614,rps/1404,RPS,2014-02-01,USA,CT,New Hartford,The Valentine Massacre Powerlifting Meet
